"Case","OCC_DATE","OCC_YEAR","OCC_Month","OCC_QTR","CASE_STATUS_DESC","UCR","UCR_EXT_CODE","OFFENSE_DESC","Bias Type","LOC_CODE","Location_Description","DeIdentifiedLocation","X_COORDINATE","Y_COORDINATE"
"2017861644","2017-12-27",2017,12,4,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1315","2","MENACING - FELONY W/WEAP","ANTI-LESBIAN, GAY, BISEXUAL, OR TRANSGENDER (MIXED GROUP)","20","RESIDENCE/HOME","15000 BLOCK E MAXWELL PL",3193238,1715202
"20183071","2017-12-12",2017,12,4,"INACTIVE","5309","3","HARASSMENT - SEXUAL IN NATURE","ANTI-TRANSGENDER","25","OTHER/UNKNOWN","4300 BLOCK N KALAMATH ST",3140270,1707898
"2017818808","2017-12-07",2017,12,4,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1315","0","AGGRAVATED ASSAULT","ANTI-BLACK OR AFRICAN AMERICAN","1","AIR/BUS/TRAIN TERMINAL","17TH ST / WEWATTA ST",3140139,1699945
"2017803454","2017-12-01",2017,12,4,"INACTIVE","2999","1","CRIMINAL MISCHIEF - MTR VEH","ANTI-HISPANIC OR LATINO","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","900 BLOCK N ACOMA ST",3143787,1691644
"2017794360","2017-11-27",2017,11,4,"INACTIVE","1316","0","THREATS TO INJURE","ANTI-BLACK OR AFRICAN AMERICAN","53","SCHOOL - ELEMENTARY/SECONDARY","1600 BLOCK N ESPLANADE PKWY",3152941,1695469
"2017793595","2017-11-26",2017,11,4,"INACTIVE","2999","2","CRIMINAL MISCHIEF - GRAFFITI","ANTI-JEWISH","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","1200 BLOCK S BROADWAY ST",3144308,1677782
"2017792631","2017-11-26",2017,11,4,"MUNICIPAL WARRANT ISSUED","1313","0","ASSAULT - SIMPLE","ANTI-GAY (MALE)","20","RESIDENCE/HOME","200 BLOCK S CLAY ST",3135043,1684558
"2017779256","2017-11-20",2017,11,4,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1315","0","AGGRAVATED ASSAULT","ANTI-TRANSGENDER","57","COMMUNITY CENTER","1500 BLOCK N HIGH ST",3150473,1695101
"2017773395","2017-11-17",2017,11,4,"MUNICIPAL WARRANT ISSUED","5312","0","DISTURBING THE PEACE","ANTI-BLACK OR AFRICAN AMERICAN","20","RESIDENCE/HOME","3700 BLOCK S HILLCREST DR",3164367,1661358
"2017767904","2017-11-15",2017,11,4,"VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA","1316","0","THREATS TO INJURE","ANTI-BLACK OR AFRICAN AMERICAN","25","OTHER/UNKNOWN","E 18TH AVE / N LOGAN ST",3145572,1696612
"2017767078","2017-11-15",2017,11,4,"ARREST/CITATION - NOT PRESENTED/REFUSED BY DA","1316","0","THREATS TO INJURE","ANTI-HISPANIC OR LATINO","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","6300 BLOCK E HAMPDEN AVE",3164520,1663466
"2017760721","2017-11-12",2017,11,4,"VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA","1313","0","ASSAULT - SIMPLE","ANTI-GAY (MALE)","18","PARKING LOT/GARAGE","800 BLOCK S FEDERAL BLVD",3133746,1680427
"2017775256","2017-11-10",2017,11,4,"ARREST/CITATION - NOT PRESENTED/REFUSED BY DA","1316","0","THREATS TO INJURE","ANTI-BLACK OR AFRICAN AMERICAN","15","JAIL/PRISON/PENETENTIARY/CORRECTIONS FACILITY","400 BLOCK W COLFAX AVE",3142418,1694739
"2017734887","2017-11-02",2017,11,4,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1315","2","MENACING - FELONY W/WEAP","ANTI-BLACK OR AFRICAN AMERICAN","1","AIR/BUS/TRAIN TERMINAL","1000 BLOCK 19TH ST",3143054,1698655
"2017734887","2017-11-02",2017,11,4,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1315","2","MENACING - FELONY W/WEAP","ANTI-BLACK OR AFRICAN AMERICAN","1","AIR/BUS/TRAIN TERMINAL","1000 BLOCK 19TH ST",3143054,1698655
"2017644153","2017-09-22",2017,9,3,"INACTIVE","2999","0","CRIMINAL MISCHIEF - OTHER","ANTI-BLACK OR AFRICAN AMERICAN","25","OTHER/UNKNOWN","1200 BLOCK 17TH ST",3141705,1698196
"2017629587","2017-09-19",2017,9,3,"INACTIVE","1316","0","THREATS TO INJURE","ANTI-BLACK OR AFRICAN AMERICAN","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","400 BLOCK E 8TH AVE",3145734,1690650
"2017629587","2017-09-19",2017,9,3,"INACTIVE","1316","0","THREATS TO INJURE","ANTI-BLACK OR AFRICAN AMERICAN","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","400 BLOCK E 8TH AVE",3145734,1690650
"2017598325","2017-09-06",2017,9,3,"ARREST/CITATION - NOT PRESENTED/REFUSED BY DA","5312","0","DISTURBING THE PEACE","ANTI-LESBIAN, GAY, BISEXUAL, OR TRANSGENDER (MIXED GROUP)","20","RESIDENCE/HOME","9200 BLOCK E GIRARD AVE",3174680,1663589
"2017591174","2017-09-03",2017,9,3,"REFUSED BY DA - NO LIKELIHOOD OF CONVICTION","5309","0","HARASSMENT","ANTI-BLACK OR AFRICAN AMERICAN","50","PARK/PLAYGROUND","00 BLOCK E COLFAX AVE",3144520,1694816
"2017565337","2017-08-24",2017,8,3,"INACTIVE","5309","0","HARASSMENT","ANTI-HISPANIC OR LATINO","53","SCHOOL - ELEMENTARY/SECONDARY","1600 BLOCK N ESPLANADE PKWY",3152941,1695469
"2017561096","2017-08-22",2017,8,3,"REFUSED BY DA - NO LIKELIHOOD OF CONVICTION","2999","2","CRIMINAL MISCHIEF - GRAFFITI","ANTI-JEWISH","3","BAR/NIGHT CLUB","1700 BLOCK E EVANS AVE",3149910,1672515
"20175003620","2017-08-14",2017,8,3,"INACTIVE","2999","2","CRIMINAL MISCHIEF - GRAFFITI","ANTI-BLACK OR AFRICAN AMERICAN","20","RESIDENCE/HOME"," BLOCK N ADAMS ST",3155219,1686428
"2017542666","2017-08-13",2017,8,3,"INACTIVE","1315","0","AGGRAVATED ASSAULT","ANTI-HISPANIC OR LATINO","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","E 11TH AVE / N LINCOLN ST",3144523,1692592
"2018238901","2017-08-01",2017,8,3,"INACTIVE","5309","0","HARASSMENT","ANTI-HISPANIC OR LATINO","52","SCHOOL - COLLEGE/UNIVERSITY","3300 BLOCK W REGIS BLVD",3131452,1713240
"2017492820","2017-07-26",2017,7,3,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1313","0","ASSAULT - SIMPLE","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","1","AIR/BUS/TRAIN TERMINAL","400 BLOCK WALNUT ST",3137133,1695925
"2017492820","2017-07-26",2017,7,3,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1313","0","ASSAULT - SIMPLE","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","1","AIR/BUS/TRAIN TERMINAL","400 BLOCK WALNUT ST",3137133,1695925
"2017407717","2017-06-22",2017,6,2,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1315","0","AGGRAVATED ASSAULT","ANTI-WHITE","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","2200 BLOCK LAWRENCE ST",3143852,1700184
"2017402118","2017-06-20",2017,6,2,"STATE CHARGE WARRANT ISSUED","1313","0","ASSAULT - SIMPLE","ANTI-TRANSGENDER","3","BAR/NIGHT CLUB","7800 BLOCK E COLFAX AVE",3169503,1694866
